start
(n, e, d, ms) = (37497223241282842097, 21928269277845307087, 35402295861894777223, '40DUVlNZ')
(n, e, d, ms) = (28320433107484501853, 6787666434183886561, 6923318880324735721, 'BLmNipOn')
(n, e, d, ms) = (40572564873119601821, 17354110831423776673, 18724677781762640137, 'gIRRGcme')
(n, e, d, ms) = (38535213671808261403, 3802306645967442301, 7321052646394294141, 'aKuPDVXG')
(n, e, d, ms) = (24827330000184691919, 1263566249871360259, 20086196218574952139, 'o1SP1t7d')
(n, e, d, ms) = (27380767310214412351, 24310163888632079411, 4240754880039184619, 'm3cNVo3v')
(n, e, d, ms) = (36727176361859679439, 9556281861171780521, 20966224159725662105, 'ee4dbwAG')
(n, e, d, ms) = (31841590351904007341, 23383421087654598151, 6453549632629658623, 'MA4GmlzO')
(n, e, d, ms) = (31324969007540711101, 17407131745552895333, 29783963074689644297, 'HJEXbW07')
(n, e, d, ms) = (53628447252454042151, 26229836500717915223, 52443119346933876551, 'RUwl3Mfz')
(n, e, d, ms) = (35872622133596454959, 23274394633653943525, 29547936620600457253, 'uVwZobmJ')
(n, e, d, ms) = (42613024518626254703, 7276754972217679757, 18165713625418900661, '2cxX4QBb')
(n, e, d, ms) = (50890017016356044507, 6523003563934543043, 47399699151999001307, 'Es0tqVdz')
(n, e, d, ms) = (50844819776567670169, 1642202774318841809, 24947741586082766789, 'sM4BPlsS')
(n, e, d, ms) = (61693982812070993057, 29115043610282107313, 39773719732137924677, 'XIGHrJYV')
(n, e, d, ms) = (21831649010942064389, 4321934614339082029, 255467191644046729, 'gIGCxRwy')
(n, e, d, ms) = (63498966430651990141, 13231469865232080613, 3751644080281890677, 'hyLjJKSu')
(n, e, d, ms) = (23468446983550494571, 2336920203990644953, 13357664733203936617, '4y5auw0n')
(n, e, d, ms) = (37979648838656033077, 36102116174388489379, 1123241411696853527, 'kiw1rD6G')
(n, e, d, ms) = (31112334773066482849, 11592914992157518329, 14019402711163935145, '3hFQ31P1')
(n, e, d, ms) = (44790420736041405287, 41735072783444295413, 29995658612608029917, 'cCzDS8zn')
(n, e, d, ms) = (24473852349118400777, 22905893239435672121, 24413936336643168521, 'OdypodE8')
(n, e, d, ms) = (46589571784849480957, 2062266655612875495, 16546889876464752343, 'xLz1pR12')
(n, e, d, ms) = (34818890125774411847, 14114518564374152879, 8300813761225304639, 'jmvue3G2')
(n, e, d, ms) = (34869851437158114961, 7443054559837437607, 15510399161087484343, 'bVL74Ic0')
(n, e, d, ms) = (30959859334982044667, 15885135817120420751, 23314796262064082279, 'k7duleNn')
(n, e, d, ms) = (36152333182420290599, 11109114875790166171, 15269996007048962707, 'AQwuR9dq')
(n, e, d, ms) = (33666190898993548367, 21737975903844785777, 33336499413741861713, 'wbhKGwm0')
(n, e, d, ms) = (33809187776708885599, 18712110754370555347, 25011016076564276443, 'mCO3g1Sp')
(n, e, d, ms) = (33693690033980901209, 11829181783691044579, 5020522560569567923, 'uoA9GXYv')
(n, e, d, ms) = (25014205101179204653, 24707521983581566253, 6829994180955836137, 'cF7pdINZ')
(n, e, d, ms) = (25669002139256148641, 1742905622180409409, 23310646697843057329, 'hw722fSg')
(n, e, d, ms) = (23537496641109329069, 5501205761634310975, 10658144379702437695, 'ki64FV7e')
(n, e, d, ms) = (43692199248478361809, 18893354884989630787, 13933580405337846059, 'R1L4OtKS')
(n, e, d, ms) = (20594625624733886681, 124416416815061339, 666096490030555859, 'iF1gTLKG')
(n, e, d, ms) = (29791245053241285073, 9353942458042141789, 2423122818878423029, 'wyoQC9gU')
(n, e, d, ms) = (40087310995988030839, 7326817590609021221, 15114784407591729581, 'w9t6pbdE')
(n, e, d, ms) = (22303965936107968093, 14832039372716873579, 20354784918892794755, '1uDCtoW')
(n, e, d, ms) = (51907487840732229653, 47697874990903110857, 45347475462923517293, 'jOB2gkst')
(n, e, d, ms) = (42013850667085153957, 11531834520259925353, 1419621727003752537, 'tFFIs79Y')
(n, e, d, ms) = (29698462564157578487, 15204999925507407115, 22662538810676906155, 'ceCOdDEK')
(n, e, d, ms) = (35346552374205342191, 3370875634591050953, 24155745523887546617, '0v6oRWsY')
(n, e, d, ms) = (42886938285936830143, 26716539962957040377, 9198549259313619113, '46Qto65q')
(n, e, d, ms) = (24744291304546428553, 14411280368897711477, 11524693939458534413, 'KazV5hes')
(n, e, d, ms) = (35332318052158015027, 25571695681077085935, 1463262175613466471, 'CYOgKoN8')
(n, e, d, ms) = (38014627317620582623, 4848482856824845717, 21983945997350376653, '0ZZm1E5z')
(n, e, d, ms) = (40457012513058598099, 36057371285561802259, 15058444197398747571, 'y3EdrwqT')
(n, e, d, ms) = (52816925290148113631, 26010192456991104607, 46843998292978475695, 'YvnvlREo')
(n, e, d, ms) = (25289484528791501377, 10240282877234639347, 600322822388337943, '9oTgWzXr')
(n, e, d, ms) = (39134383473970945063, 6455226020060547167, 4628543978619494103, 'HB2lMYR2')
(n, e, d, ms) = (31745779700422935761, 22128234462746634683, 30756492212610912347, '4z5coEHW')
(n, e, d, ms) = (38398273272870847213, 32246872857045288359, 1296205681641062039, 'wl7b2uDy')
(n, e, d, ms) = (27759771082380037843, 25271182910959726747, 18775167743290050259, 'y8W1PNLW')
(n, e, d, ms) = (36055332784049145323, 30790902017744158063, 7020057746957386903, 'eTCvcnnf')
(n, e, d, ms) = (36545833756460299759, 30023669399067678281, 13829086608220592921, 'bO0M2G94')
(n, e, d, ms) = (46679259833496563743, 10278072146462473051, 14614248713099738323, 'aUf2NWVQ')
(n, e, d, ms) = (52356030406544518253, 8135823930291099991, 52055741141087928967, 'SGnNzWti')
(n, e, d, ms) = (31834852050323278207, 1040799935107335721, 30990881212577709785, 'ODXdaYti')
(n, e, d, ms) = (40411783575759712439, 15499007375790659389, 10657925266028658709, 'Qw54Upe1')
(n, e, d, ms) = (20805699045336156557, 5842694941404799315, 10821087966397252279, 'AXS1yHgv')
(n, e, d, ms) = (37422800274996356387, 21956973693763307831, 14093085837201193991, 'osCvGSo6')
(n, e, d, ms) = (45949486561265055557, 31842450477260482151, 24523827078620181551, 'rYkJxuvE')
(n, e, d, ms) = (42287252062434715013, 29345377291721090923, 7922980322313608107, 'qx1TXe33')
(n, e, d, ms) = (31185818092382029697, 1428593156705355607, 14714283447654804343, 't3SqFFNV')
(n, e, d, ms) = (61598832672726468517, 56924142523777483051, 57225552445900420931, '1MlcqX1M')
(n, e, d, ms) = (56348597964140399059, 42934389714336633391, 29329307863107010831, '4ClWv6cr')
(n, e, d, ms) = (31173364976450060389, 10780520221607733443, 19563956896343425547, 't1EbEVeT')
(n, e, d, ms) = (38867127052610947199, 36087764972190713579, 23395642116624081059, 'huYCZ0kr')
(n, e, d, ms) = (31496572030912225687, 22865246419048727559, 8094132194998737479, 'jwfyjAgx')
(n, e, d, ms) = (33151895183118761447, 11694108902184060415, 18206989381130764207, 'G0Wi0O0N')
(n, e, d, ms) = (46040804836768257413, 8167736981464083827, 14107874334418983251, 'KXddDVW4')
(n, e, d, ms) = (35426818742000174989, 5637320124849530263, 13641317471137264831, 'D5WV7CFf')
(n, e, d, ms) = (35703821947631709317, 11353383924857069749, 6392051158399064029, 'FaVtpChK')
(n, e, d, ms) = (29681023797598369033, 29044608596209557925, 24855102380111890981, 'HN6rUvbS')
(n, e, d, ms) = (45010654626416770771, 27258751984368467171, 34536513435816338731, 'NKlnwh0V')
(n, e, d, ms) = (51608833308368130547, 4850269855583056153, 25301985436737451505, 'RCVg1VrU')
(n, e, d, ms) = (40420697382351771629, 3622249159930938239, 24252646383359733743, 'ysPRD98X')
(n, e, d, ms) = (49798351660716930863, 21474782121757301573, 39192255989112148877, 'BO000An1')
(n, e, d, ms) = (37908153979527464933, 34506403085394034933, 32159254666640066437, 'X5i8Z4Qt')
(n, e, d, ms) = (38403074109126664073, 32645218668622665137, 12868952127069270869, 'NpvAlGL5')
(n, e, d, ms) = (35833736068438249129, 25940724108842950439, 28298229754057327559, 'jFwD2mNQ')
(n, e, d, ms) = (28044065168167892021, 24788172173116086241, 8400411756027519361, 'hmXHBAJH')
(n, e, d, ms) = (49424776249249498709, 9760538973413943547, 5830123088574757363, 'G04iyqxN')
(n, e, d, ms) = (33361371931007101829, 30233613032809874321, 8788999466998378217, 'J3QGJKxO')
(n, e, d, ms) = (46581072219055954777, 5501573523930833777, 42519949460803996817, 'ZGPf8Z8v')
(n, e, d, ms) = (25517227932385278521, 24868277704401324499, 3045747884191261579, 'QbfX0FlT')
(n, e, d, ms) = (28389455643044496919, 6373932169994162191, 16536049426537094071, 'rIKFJEfG')
(n, e, d, ms) = (26926620146023422749, 21786141604686938129, 2676655258444556921, 'JlwE2YVL')
(n, e, d, ms) = (20593945867930927003, 8042872923484183051, 14177414148923525251, '8NYrKCNc')
(n, e, d, ms) = (40079642629408408837, 9873047596602361749, 33308743991736102749, 'iQHLc3Zl')
(n, e, d, ms) = (47933067643045916039, 31660957332499216043, 36133608056004520907, '43QpEMhw')
(n, e, d, ms) = (39810426913946398081, 27637193969103879583, 17518176686654445415, 'enpAiQEd')
(n, e, d, ms) = (45579969588179794073, 2291862045282537911, 30698232665078292491, 'F3stxkVD')
(n, e, d, ms) = (33812881882014320131, 9588890586379213049, 31921090898042387417, 'UsTCiFcj')
(n, e, d, ms) = (29948122104819655181, 2671277322553024327, 2661293161045729651, 'C1q7UVEw')
(n, e, d, ms) = (36748523061630757669, 21448337248175144123, 20563397753303329907, 'Wib8ypNA')
(n, e, d, ms) = (43475743257647902963, 28343466683963147063, 14952877120880141927, 'ZRZOS4Gl')
(n, e, d, ms) = (25040730363565486247, 15059967942189985655, 22397981655472438247, 'DypTHmDa')
(n, e, d, ms) = (53044842135763517009, 30148484288768189287, 28242631213223163703, 'NHcLdw7o')
(n, e, d, ms) = (26060860192186545461, 21729283659974284013, 19105514201191463633, 'hgNBnocy')
(n, e, d, ms) = (54442010622779651401, 23962997609654974669, 6920383906222658565, 'klhI3ojI')
(n, e, d, ms) = (43942423653531645293, 4617284522047158187, 20795170423167524899, 'pq4clHhC')
(n, e, d, ms) = (40340082754614432469, 25316134916266547209, 24914964062481920569, 'dtzSzsrC')
(n, e, d, ms) = (56036454944530588397, 13519930288145812697, 25556282817895444073, '02YP3u8w')
(n, e, d, ms) = (37224861442139160109, 31279725543237971605, 4285398233209799853, 'bLkmlM2T')
(n, e, d, ms) = (36474627822310328171, 2988550044792091351, 15478600063682974951, 'v23LWmF0')
(n, e, d, ms) = (20179189469210317303, 17616185962659440291, 378321187604177803, '34MfQ9eR')
(n, e, d, ms) = (39884632789862711567, 28787429041270846253, 273448500500975285, 'EDWV2ECN')
(n, e, d, ms) = (46314572758481573353, 27224807564738346331, 27507224206489739347, 'Lj99BkpZ')
(n, e, d, ms) = (32168905876892312791, 25735820318542406191, 14352843094262838511, 'Tq61O16R')
(n, e, d, ms) = (21523143698348087581, 7771287853796015529, 10751947369892123641, 'srjzA11w')
(n, e, d, ms) = (32804481481627262983, 6268225064112858411, 13482434774775800291, 'DqQV6R0K')
(n, e, d, ms) = (36527596264965239429, 35039354838688012733, 36094075293814165397, 'UPOGNi2N')
(n, e, d, ms) = (45073931247709594519, 43509613460501316631, 263350061624201295, 'fkEjhkLX')
(n, e, d, ms) = (38225663142633805967, 28028928282226071433, 1005182137378073353, 'a2J952uD')
(n, e, d, ms) = (21870891549468580447, 21304965399885159043, 9115482850696327867, 'tC9oDYi')
(n, e, d, ms) = (36256357994057243177, 21346847645649306253, 2701154577188314501, 'JT7k08AN')
(n, e, d, ms) = (31923021858239818819, 18613037959634868533, 16989796409891637797, 'LghYNECJ')
(n, e, d, ms) = (38827643562738498977, 35437335407666987573, 2404736424685458077, 'cKHv223V')
(n, e, d, ms) = (35693001571559114273, 2474308865191193873, 12211366139357463617, 'xkuwikNz')
(n, e, d, ms) = (24114229026831776977, 3253126860677984429, 1060518554251875909, 's7rAiNFY')
(n, e, d, ms) = (23372707243639460831, 2921497141179606389, 21315497939358364637, 'G6ngzAP0')
(n, e, d, ms) = (40273214948557631993, 4950497653027848683, 27257209937184120587, 'sIXaBRyo')
(n, e, d, ms) = (26309101933776273671, 17858629997186852641, 7880975367561733921, '432jbrhV')
(n, e, d, ms) = (40280428589952010231, 35581529283741010277, 29693486157145515741, 'q1cQE3LI')
(n, e, d, ms) = (46907908668294371701, 36356316460437867313, 7913227227765440209, 'VULh1cOz')
(n, e, d, ms) = (33662454090604335473, 27484587570568490927, 14923111637753459927, 'Dq3S3AWB')
(n, e, d, ms) = (38078002974342425027, 10085531024762432743, 390031942248669607, '3t3ctqUK')
(n, e, d, ms) = (69254691332221639931, 67541399804961629227, 36594489722366889763, 'v0Gficcs')
(n, e, d, ms) = (27748673154207362261, 15480748109939505751, 12320619990141765799, 'zOGKdSaS')
(n, e, d, ms) = (62747411109514592633, 56509006485566023253, 38981054528915352317, 'tIbzpNoW')
(n, e, d, ms) = (38826482360764642321, 37557947423200186729, 30845698009350516577, 'WndPybeK')
(n, e, d, ms) = (43286664812224668763, 12477635810828053507, 27045595982024139523, 'wNuYrVy9')
(n, e, d, ms) = (35959957274571748469, 18726366867240210959, 28621760557775270639, 'ymUAEESM')
(n, e, d, ms) = (40578925220295477749, 39149464331818215145, 2632232511314980921, 'tgRzBbKn')
(n, e, d, ms) = (43308511838817702443, 29707906190973989467, 10225951205345414323, 'KYDFXpeH')
(n, e, d, ms) = (48815543518724411399, 22893136043947694489, 43663676540416805609, 'FmM0iA7F')
(n, e, d, ms) = (24723033048429621197, 14628368796319016467, 16450891140578696803, 'luiax0O3')
(n, e, d, ms) = (38551809122076228967, 23893510967026339633, 499758105121814137, 'A1PL6YhM')
(n, e, d, ms) = (30456257500407758177, 7681892306101160501, 6699815539777348361, 'V8IEWHga')
(n, e, d, ms) = (39875091079351592717, 35486358343575171241, 14862236002584168961, 'hjXAW0gD')
(n, e, d, ms) = (52666410113369868779, 43889987969897459357, 52100067055601662277, 'ACfIxuOB')
(n, e, d, ms) = (40289150216973065957, 16948129030661380201, 5690319532154497201, 'cPkgb0rG')
(n, e, d, ms) = (35303465909169338219, 6283055966779616753, 22288847161714721969, 'UKnHgefw')
(n, e, d, ms) = (47635425830720518799, 31373327152679591429, 35554318219079519885, 'DPREbdU9')
(n, e, d, ms) = (37507625225359347557, 513348963634863953, 35208523507085312945, '5UbRi0It')
(n, e, d, ms) = (28846344723396481973, 3402631193482485007, 17661442720559571823, 'KjNvFvZS')
(n, e, d, ms) = (36363610013024603333, 10748050969231736429, 4486202439547916957, 'tA1IXbKP')
(n, e, d, ms) = (40026993698635689917, 31104554147177589877, 39312914067623604493, 'yVE9XSf
')
(n, e, d, ms) = (40181497880539112519, 33261620922272130581, 31397058523561824821, '6Avxt30N')
(n, e, d, ms) = (35729033963604390191, 11092167253594543453, 16008158021522297149, 'GQqvh14K')
(n, e, d, ms) = (38544764521984335019, 13931129114222610193, 27021697878685353817, 'xxwgNa1Q')
(n, e, d, ms) = (32243623406629370107, 16187169481409604607, 20266972960319261583, 'oceZSihD')
(n, e, d, ms) = (40834657513643000263, 37530294998356049913, 39440531066141031817, 'xczLZ10p')
(n, e, d, ms) = (34545614375508384073, 4555667512178968113, 5394769292027568337, '4vU1GJMV')
(n, e, d, ms) = (27971933551056855403, 11870218621902908107, 16336074164833054531, 'ofSvyd1n')
(n, e, d, ms) = (41520150317135428661, 7198395522181991029, 25488339109880425309, 'E3pn1auQ')
(n, e, d, ms) = (39600435733155390871, 10727361379957648521, 4517981074460803721, '5rNOjw0K')
(n, e, d, ms) = (31014028515909313883, 16936083187717079501, 14324555579188457141, 'Hc0rQbqv')
(n, e, d, ms) = (25834021077895744369, 5860640129818253779, 11269230943007749659, 'gL7UYB5E')
(n, e, d, ms) = (34690896887468439283, 28559135943772991927, 30740409851289252263, 'N8GiKelE')
(n, e, d, ms) = (40372378679825740501, 13567460915131956373, 4946820332667349021, '2JS9p4kA')
(n, e, d, ms) = (29096933092448623891, 3077771896620559211, 11229497795792061635, 'IYvzpEzG')
(n, e, d, ms) = (29547132596464721879, 6329091251401373177, 9692791940961670193, 'HzGatTxv')
(n, e, d, ms) = (36219671152501600909, 33454019977043851601, 13591556118720587441, 'M4KzSkBR')
(n, e, d, ms) = (36555110980776534637, 15899382997365473785, 16403205774457511065, '0TSdeImm')
(n, e, d, ms) = (37233661352233451957, 30194647584765358337, 8130865330516665185, 'yxe6iz1
')
(n, e, d, ms) = (31340675886698109119, 14168077540509775475, 2535338368798123067, '2e4PdtWz')
(n, e, d, ms) = (19791535659474846581, 1364890409679245509, 10133785953427652389, 'tE8lq8MX')
(n, e, d, ms) = (25782789571411345519, 3772187301792772703, 14498240341927549007, 'rV1MEZAy')
(n, e, d, ms) = (26505859356736725221, 23127340535436484705, 6357966547413971617, 'JIFZbGdz')
(n, e, d, ms) = (45226400233324346549, 5001125074157634847, 40787794629000872383, 'f0NI2obU')
(n, e, d, ms) = (22015176221833120103, 9078500005212435437, 8088970268687776685, '7GLVD6iZ')
(n, e, d, ms) = (42983649390240831869, 39891058347158157371, 40214501301381466571, 'xupbwupJ')
(n, e, d, ms) = (19566958115144210077, 6679990149364106857, 9525190211247884185, 'OTCmD9Gl')
(n, e, d, ms) = (39436259865841739107, 23793278380174792563, 26817170562536561547, 'UU8jdXGN')
(n, e, d, ms) = (31260015839254239227, 17693251800841137059, 21555146521891439819, '943mcpSF')
(n, e, d, ms) = (40095858733050388717, 7564857856576017299, 7509519730280559319, 'A3JGrnqQ')
(n, e, d, ms) = (43229764591153254659, 12440253287005769719, 1682718050062390879, 'l2mvQXdL')
(n, e, d, ms) = (20264524078943685361, 8297432120987723101, 12687065772124229365, '40u9KDLJ')
(n, e, d, ms) = (35651536953817601987, 31949712236376474193, 33806637975736930225, 'o2Iqsmg3')
(n, e, d, ms) = (47079150923918880293, 35959954510818065363, 22652087683525313831, 'vfbABiWt')
(n, e, d, ms) = (60202074741636223817, 26387958756386994377, 24601284161305296617, 'QDm3WJFs')
(n, e, d, ms) = (34903571097827375479, 1254015100753578143, 23872259145020121215, 'b5TK0QU')
(n, e, d, ms) = (27880745304342561031, 6938341514369902387, 27053548301694849211, 'Ssj9R9Be')
(n, e, d, ms) = (30683491275380061061, 25046640874426771579, 23573442451703675695, 'cUOs619w')
(n, e, d, ms) = (33272739876011667287, 18045429818288415893, 32657918426536240637, 'wjTo6MHj')
(n, e, d, ms) = (25166165407900099631, 3825727929203292997, 3889403982347613133, 'F9OS76MW')
(n, e, d, ms) = (22620129109249106749, 21726195411269366681, 10804842587257722821, 'IPmCxf45')
(n, e, d, ms) = (48785304932318785657, 10120333943364907449, 37549123040100433929, 'uw0MTmO1')
(n, e, d, ms) = (39717787030363441621, 2122140696663861593, 4163154726015761705, 'rM47mxyc')
(n, e, d, ms) = (30439840966560306079, 26940810707291792153, 5210173601542490513, 'Op140l2W')
(n, e, d, ms) = (23138698039118661037, 11223570015769765361, 21017244088432423505, 'Fc3Ke3BD')
(n, e, d, ms) = (30616444433873687671, 14425128059266601221, 754115989414312893, 'Up20ydG6')
(n, e, d, ms) = (44533017937886411993, 26155000795686848899, 17344690238743136215, 'apprDI3a')
(n, e, d, ms) = (39833570521400973901, 123104737076405413, 9878612716236852397, 'gEb3T9gS')
(n, e, d, ms) = (28967704721662387469, 8674358809123563041, 22724809308087432161, 'q4gN75e0')
(n, e, d, ms) = (40544314641270019357, 38143669127105403065, 18623482281821089961, 'e774wIEy')
(n, e, d, ms) = (34185869110201649411, 1077792750623120407, 11368644922136080327, 'pbTsgOLi')
(n, e, d, ms) = (47623026622811099659, 11785794670522209469, 17110246814295624709, 'ut1bofhc')
(n, e, d, ms) = (29874996586803886171, 1334737659021670027, 24508118224442061163, 'y3LWOQu5')
(n, e, d, ms) = (40343203293432432017, 23217685680167279983, 15481158615261370603, 'ZPveutAy')
(n, e, d, ms) = (43935897672879057089, 43155868183324361167, 8548728295772002963, 'Uj9LmQMD')
(n, e, d, ms) = (29144865396232912559, 11653596382271641579, 7398066183406982779, 'Lq988iJh')
(n, e, d, ms) = (29096612099781109883, 15853803637321612777, 9273940572123318841, 'tND8z9VH')
(n, e, d, ms) = (36538316250665674139, 11962479238312476881, 29066518784974281905, 'm4CqP83F')
(n, e, d, ms) = (43125976103976777173, 41877481316635138471, 7265937523588190743, 'yatsNgtu')
(n, e, d, ms) = (25566333714019652501, 12045928004638676399, 12251158663504123343, 'JazNpQRM')
(n, e, d, ms) = (39780504004879848823, 26082907300589987141, 34609858449384262661, 'jD48AgTW')
(n, e, d, ms) = (27901593101022773687, 1480732541453255839, 19311185501478124519, '53uUSvHR')
(n, e, d, ms) = (32235929462616345749, 29432659297108110047, 21793553918566641983, 'h70Yv85A')
(n, e, d, ms) = (42353147317345766263, 15427952542234990711, 1563670986359905847, 'dwJxkuBm')
(n, e, d, ms) = (34159436738899763279, 22944663256305867017, 16113553546130000249, 'izYv7WAT')
(n, e, d, ms) = (46599747150967264517, 15890108753568782423, 12766408548481511723, 'Iovjj1hM')
(n, e, d, ms) = (32806379834573041027, 29945651700030454219, 9675924815538679291, 'JfgT1jnp')
(n, e, d, ms) = (33700974728386414993, 4942848756325964227, 4288290029046687595, '7Q86TuOK')
(n, e, d, ms) = (26951924651600021911, 13411352449732272311, 3146582676818076791, 'znpbBZ7P')
(n, e, d, ms) = (33845933829973514617, 990507771804169997, 13053261105059442021, 'hjcbufdT')
(n, e, d, ms) = (45045137252708695033, 15298578776515200121, 25522387330486058281, '4UtQDoCR')
(n, e, d, ms) = (53954537140632270421, 42373875261698668007, 826021617152771735, 'cpeduPxb')
(n, e, d, ms) = (52292914705698450331, 47269022654676121369, 11094479708044576729, 'R3bgPnh1')
(n, e, d, ms) = (71746961692482373259, 57264645580741960373, 49755788329368750485, 'y9g1PmsB')
(n, e, d, ms) = (28293756683496514211, 3899734843060405943, 12052270458015370607, 'AVe3bmBj')
(n, e, d, ms) = (36151130122726831189, 19644875209261933243, 10799319181856227699, 'l1hX84jc')
(n, e, d, ms) = (24475782933313710239, 2755440185654245259, 23908350414117894179, 'l8TgyQVJ')
(n, e, d, ms) = (27368701996535741759, 17668579489901908595, 23403873108466498283, 'eWeg09va')
(n, e, d, ms) = (25574881611518103901, 117118272064302625, 16812676092348409825, 'ozs4C4QF')
(n, e, d, ms) = (49233775326420077951, 47717420677053843029, 18700608333346403645, 'WNBzfMh6')
(n, e, d, ms) = (24633126823028197039, 8722255231666025407, 20636577227218865599, '5zrPcuQV')
(n, e, d, ms) = (29574718620303173939, 15146250768207671401, 1952392300960506841, 'EIhcygHV')
(n, e, d, ms) = (36086457614854320599, 34089602831326513045, 9776432818571957053, 'IHtPuTwy')
(n, e, d, ms) = (37403989549779208259, 28460957701221208343, 28018709351163310919, 'R4cyuJFf')
(n, e, d, ms) = (29020343101340334613, 6437559226175793857, 9580669566459201473, 'X1TOzDcw')
(n, e, d, ms) = (33859462075381983431, 25501723188910816453, 24359149329019142269, 'zhuinDFy')
(n, e, d, ms) = (37087346042756348627, 34915645963250755051, 18404853194378535091, 'MCvmgRgF')
(n, e, d, ms) = (47480484062902911967, 25601322885804422761, 31113513664715569201, 'srBNzAtq')
(n, e, d, ms) = (66261702330581522351, 21116406085319575193, 17075913650163623777, 'aP8JyPZ2')
(n, e, d, ms) = (38746728445859211179, 6849910405395197753, 20051715360411229049, 'kFMubJuG')
(n, e, d, ms) = (37724554556149955869, 30510202841791607629, 27188580210774578789, 'S6HY3QSD')
(n, e, d, ms) = (40563565453039146961, 3542462163723913757, 15041877667001538965, 'g1iY16qo')
(n, e, d, ms) = (31486368488607978157, 17979634242777719693, 4112751332293039877, 'h2jrz12G')
(n, e, d, ms) = (54832624873639693541, 43469182763799150239, 2728080460748576159, '8a9vL1JT')
(n, e, d, ms) = (47828992552887077849, 18712987795364797721, 4626035973547759877, 'tfPWT2u4')
(n, e, d, ms) = (33832535358045980141, 22551627136338004631, 4492824742598223143, 'ekNVJgRm')
(n, e, d, ms) = (19144124613186552407, 5071837876047985337, 12966026797605899033, 'P9dLR13I')
(n, e, d, ms) = (35965626060194191091, 28549840128658904575, 4266896318949853351, 'C5EKNk6J')
(n, e, d, ms) = (38928677717552132381, 6878651776298026963, 37944612889445238427, '2zGrzsk9')
(n, e, d, ms) = (27186883664683180777, 18307744215802587773, 13035439003757844581, 'xsC64IGn')
(n, e, d, ms) = (23940779464261936153, 11931652521346842815, 10968849787867949567, 'xiyhP1kh')
(n, e, d, ms) = (35675947330752073729, 11792156327012390089, 9653085446160798329, '9oquRiGW')
(n, e, d, ms) = (41445079521106793053, 29390898257563204993, 15238698323719660917, 'PfvtcyIZ')
(n, e, d, ms) = (21467113297427384239, 19645353240665996231, 12908504884983575111, 'rKsVeTDD')
(n, e, d, ms) = (55110751766341985533, 34615715974447957151, 25821241468048831031, 'JuM0uHiE')
(n, e, d, ms) = (57631981233959212453, 41176488340404157981, 42720578726005278681, 'lmmHJ6EY')
(n, e, d, ms) = (22971540354218946761, 3708551804724265733, 12079077690725800397, 'a0UjFIWO')
(n, e, d, ms) = (34490808161679525311, 27523748922600908897, 15243936178200550433, 'rrAToW1H')
(n, e, d, ms) = (29818140029116018717, 26100516807633397397, 3869145642781126973, 'lrjq7nkt')
(n, e, d, ms) = (28531775092680089149, 21646764103668189407, 2077091646303557951, 'ZjhRV2qP')
(n, e, d, ms) = (25188900833581356167, 6141973236893896859, 20111210807608862099, 'DWpNC8f2')
